customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,customer_segment
CJ-12010,190,8,11164.97,1,3,4,134,At Risk
CK-12205,40,13,3154.82,3,4,3,343,Champions
CK-12325,121,5,2945.32,2,2,3,223,Lost / Inactive
CK-12595,44,11,2372.75,3,4,3,343,Champions
CK-12760,83,9,1582.1,2,4,2,242,At Risk
CL-11890,107,4,1262.01,2,1,2,212,Lost / Inactive
CL-12565,285,12,10880.56,1,4,4,144,At Risk
CL-12700,106,5,2353.59,2,2,3,223,Lost / Inactive
CM-11815,132,6,1673.89,2,2,2,222,Lost / Inactive
CM-11935,709,2,565.39,1,1,1,111,Lost / Inactive
CM-12115,9,4,1661.61,4,1,2,412,Recent Customers
CM-12160,27,6,2533.32,4,2,3,423,Loyal Customers
CM-12190,9,6,1475.14,4,2,2,422,Loyal Customers
CM-12235,386,5,2305.71,1,2,3,123,Cant Lose Them
CM-12385,38,4,8954.01,3,1,4,314,Recent Customers
CM-12445,437,3,288.0,1,1,1,111,Lost / Inactive
CM-12655,28,6,6339.56,4,2,4,424,Loyal Customers
CM-12715,1036,4,3984.45,1,1,4,114,Cant Lose Them
CP-12085,83,8,5402.25,2,3,4,234,At Risk
CP-12340,161,8,5888.29,2,3,4,234,At Risk
CR-12580,58,4,2148.85,3,1,2,312,Recent Customers
CR-12625,471,3,475.9,1,1,1,111,Lost / Inactive
CR-12730,79,4,1600.55,2,1,2,212,Lost / Inactive
CR-12820,86,3,1397.88,2,1,2,212,Lost / Inactive
CS-11845,92,5,1278.96,2,2,2,222,Lost / Inactive
CS-11860,163,6,537.63,2,2,1,221,Lost / Inactive
CS-11950,26,11,3036.53,4,4,3,443,Champions
CS-12130,490,4,884.64,1,1,1,111,Lost / Inactive
CS-12175,233,5,844.46,1,2,1,121,Lost / Inactive
CS-12250,27,12,2754.22,4,4,3,443,Champions
CS-12355,7,11,3202.16,4,4,3,443,Champions
CS-12400,3,9,3651.86,4,4,3,443,Champions
CS-12460,28,2,550.64,4,1,1,411,Recent Customers
CS-12490,425,4,1077.23,1,1,1,111,Lost / Inactive
CS-12505,59,6,5690.06,3,2,4,324,Loyal Customers
CT-11995,97,8,3241.9,2,3,3,233,At Risk
CV-12295,255,5,2830.63,1,2,3,123,Cant Lose Them
CV-12805,6,9,2370.33,4,4,3,443,Champions
CW-11905,23,6,1136.59,4,2,1,421,Loyal Customers
CY-12745,61,8,2900.02,3,3,3,333,Champions
Co-12640,550,5,1300.08,1,2,2,122,Lost / Inactive
DA-13450,353,4,156.76,1,1,1,111,Lost / Inactive
DB-12910,22,8,2171.61,4,3,2,432,Loyal Customers
DB-12970,242,5,2839.23,1,2,3,123,Cant Lose Them
DB-13060,17,7,4531.65,4,3,4,434,Champions
DB-13120,49,7,2973.09,3,3,3,333,Champions
DB-13210,10,10,2332.57,4,4,3,443,Champions
DB-13270,54,8,4655.89,3,3,4,334,Champions
DB-13360,265,5,1081.47,1,2,1,121,Lost / Inactive
DB-13405,188,4,1711.69,1,1,2,112,Lost / Inactive
DB-13555,108,7,3908.8,2,3,4,234,At Risk
DB-13615,34,7,1989.05,3,3,2,332,Loyal Customers
DB-13660,13,7,1155.21,4,3,2,432,Loyal Customers
DC-12850,38,9,3336.17,3,4,3,343,Champions
DC-13285,24,5,1174.62,4,2,2,422,Loyal Customers
DD-13570,42,6,269.53,3,2,1,321,Loyal Customers
DE-13255,720,5,2550.87,1,2,3,123,Cant Lose Them
DF-13135,701,3,2390.54,1,1,3,113,Cant Lose Them
DG-13300,33,5,3195.82,3,2,3,323,Loyal Customers
DH-13075,278,6,4932.87,1,2,4,124,Cant Lose Them
DH-13675,777,4,1043.09,1,1,1,111,Lost / Inactive
DJ-13420,638,4,2012.52,1,1,2,112,Lost / Inactive
DJ-13510,49,8,2501.69,3,3,3,333,Champions
DJ-13630,13,3,3356.4,4,1,3,413,Recent Customers
DK-12835,22,12,3256.48,4,4,3,443,Champions
DK-12895,46,5,4282.16,3,2,4,324,Loyal Customers
DK-12985,8,5,1687.03,4,2,2,422,Loyal Customers
DK-13090,43,7,2650.55,3,3,3,333,Champions
DK-13150,11,2,797.83,4,1,1,411,Recent Customers
DK-13225,11,9,4802.39,4,4,4,444,Champions
DK-13375,20,8,3318.49,4,3,3,433,Champions
DL-12865,101,8,1503.12,2,3,2,232,At Risk
DL-12925,58,6,3272.2,3,2,3,323,Loyal Customers
DL-13315,23,8,1458.25,4,3,2,432,Loyal Customers
DL-13330,58,4,585.02,3,1,1,311,Recent Customers
DL-13495,77,8,3539.32,2,3,3,233,At Risk
DM-12955,115,7,1322.03,2,3,2,232,At Risk
DM-13015,58,7,6345.09,3,3,4,334,Champions
DM-13345,23,8,4074.47,4,3,4,434,Champions
DM-13525,482,3,1376.8,1,1,2,112,Lost / Inactive
DN-13690,218,7,2139.79,1,3,2,132,At Risk
DO-13435,134,9,1300.03,2,4,2,242,At Risk
DO-13645,27,7,1267.32,4,3,2,432,Loyal Customers
DP-13000,127,9,1050.63,2,4,1,241,At Risk
DP-13105,7,8,2214.99,4,3,2,432,Loyal Customers
DP-13165,813,2,1058.62,1,1,1,111,Lost / Inactive
DP-13390,359,9,5480.73,1,4,4,144,At Risk
DR-12880,4,9,6528.03,4,4,4,444,Champions
DR-12940,51,8,8350.87,3,3,4,334,Champions
DS-13030,94,4,1762.21,2,1,2,212,Lost / Inactive
DS-13180,24,9,2881.8,4,4,3,443,Champions
DV-13045,20,5,1119.48,4,2,1,421,Loyal Customers
DV-13465,30,6,3341.58,4,2,3,423,Loyal Customers
DW-13195,70,6,1080.75,3,2,1,321,Loyal Customers
DW-13480,218,5,5271.63,1,2,4,124,Cant Lose Them
DW-13540,99,5,344.08,2,2,1,221,Lost / Inactive
DW-13585,243,7,1204.85,1,3,2,132,At Risk
Dl-13600,120,5,755.6,2,2,1,221,Lost / Inactive
Dp-13240,85,11,7198.77,2,4,4,244,At Risk
EA-14035,153,13,2846.71,2,4,3,243,At Risk
EB-13705,49,9,3644.97,3,4,3,343,Champions
EB-13750,36,10,3236.32,3,4,3,343,Champions
EB-13840,91,5,4358.13,2,2,4,224,Lost / Inactive
EB-13870,101,10,2767.22,2,4,3,243,At Risk
EB-13930,162,5,944.6,2,2,1,221,Lost / Inactive
EB-13975,1,4,1643.26,4,1,2,412,Recent Customers
EB-14110,114,6,3071.14,2,2,3,223,Lost / Inactive
EB-14170,83,6,1186.33,2,2,2,222,Lost / Inactive
EC-14050,54,5,461.91,3,2,1,321,Loyal Customers
ED-13885,136,8,3484.91,2,3,3,233,At Risk
EG-13900,23,5,1832.02,4,2,2,422,Loyal Customers
EH-13765,136,12,10310.87,2,4,4,244,At Risk
EH-13945,218,8,684.18,1,3,1,131,At Risk
EH-13990,406,6,825.95,1,2,1,121,Lost / Inactive
EH-14005,3,7,1219.52,4,3,2,432,Loyal Customers
EH-14125,153,10,3082.64,2,4,3,243,At Risk
EH-14185,106,6,923.88,2,2,1,221,Lost / Inactive
EJ-13720,303,4,2162.18,1,1,2,112,Lost / Inactive
EJ-14155,58,5,2656.69,3,2,3,323,Loyal Customers
EK-13795,45,4,1303.48,3,1,2,312,Recent Customers
EL-13735,78,2,124.28,2,1,1,211,Lost / Inactive
EM-13810,133,5,2567.0,2,2,3,223,Lost / Inactive
EM-13825,56,8,2339.6,3,3,3,333,Champions
EM-13960,152,5,933.7,2,2,1,221,Lost / Inactive
EM-14065,48,4,228.99,3,1,1,311,Recent Customers
EM-14095,114,4,1041.04,2,1,1,211,Lost / Inactive
EM-14140,49,6,4588.44,3,2,4,324,Loyal Customers
EM-14200,159,3,366.83,2,1,1,211,Lost / Inactive
EN-13780,288,4,2199.36,1,1,2,112,Lost / Inactive
EP-13915,13,17,5478.06,4,4,4,444,Champions
ER-13855,422,3,1245.79,1,1,2,112,Lost / Inactive
ES-14020,41,5,3510.46,3,2,3,323,Loyal Customers
ES-14080,29,9,4657.93,4,4,4,444,Champions
FA-14230,98,7,2984.05,2,3,3,233,At Risk
FC-14245,71,7,3418.74,3,3,3,333,Champions
FC-14335,185,7,3889.36,1,3,4,134,At Risk
FG-14260,35,7,1383.13,3,3,2,332,Loyal Customers
FH-14275,38,10,4256.28,3,4,4,344,Champions
FH-14350,213,4,2271.29,1,1,3,113,Cant Lose Them
FH-14365,6,8,6987.2,4,3,4,434,Champions
FM-14215,8,10,2456.64,4,4,3,443,Champions
FM-14290,37,9,3736.2,3,4,3,343,Champions
FM-14380,146,9,2523.26,2,4,3,243,At Risk
FO-14305,39,10,2678.43,3,4,3,343,Champions
FP-14320,24,8,4046.75,4,3,4,434,Champions
FW-14395,363,3,79.75,1,1,1,111,Lost / Inactive
GA-14515,150,8,3919.77,2,3,4,234,At Risk
GA-14725,6,11,1398.39,4,4,2,442,Loyal Customers
GB-14530,63,11,1568.44,3,4,2,342,Loyal Customers
GB-14575,14,5,4716.3,4,2,4,424,Loyal Customers
GD-14590,6,4,1888.08,4,1,2,412,Recent Customers
GG-14650,44,9,2223.99,3,4,2,342,Loyal Customers
GH-14410,76,9,2819.45,3,4,3,343,Champions
GH-14425,51,4,4172.84,3,1,4,314,Recent Customers
GH-14485,388,2,1361.24,1,1,2,112,Lost / Inactive
GH-14665,3,2,146.94,4,1,1,411,Recent Customers
GK-14620,113,9,6497.28,2,4,4,244,At Risk
GM-14440,84,7,3582.82,2,3,3,233,At Risk
GM-14455,17,6,3078.63,4,2,3,423,Loyal Customers
GM-14500,107,10,1255.68,2,4,2,242,At Risk
GM-14680,153,6,3163.63,2,2,3,223,Lost / Inactive
GM-14695,118,3,6049.96,2,1,4,214,Lost / Inactive
GP-14740,766,2,236.53,1,1,1,111,Lost / Inactive
GR-14560,1136,2,1284.38,1,1,2,112,Lost / Inactive
GT-14635,57,3,9351.2,3,1,4,314,Recent Customers
GT-14710,37,11,11820.12,3,4,4,344,Champions
GT-14755,35,4,226.43,3,1,1,311,Recent Customers
GW-14605,29,7,2189.02,4,3,2,432,Loyal Customers
GZ-14470,8,9,4355.15,4,4,4,444,Champions
GZ-14545,158,4,2454.62,2,1,3,213,Lost / Inactive
HA-14905,70,7,2163.32,3,3,2,332,Loyal Customers
HA-14920,21,8,2584.17,4,3,3,433,Champions
HD-14785,770,3,251.36,1,1,1,111,Lost / Inactive
HE-14800,13,4,883.53,4,1,1,411,Recent Customers
HF-14995,22,7,2533.15,4,3,3,433,Champions
HG-14845,55,5,785.62,3,2,1,321,Loyal Customers
HG-14965,24,12,3247.65,4,4,3,443,Champions
HG-15025,7,7,3690.28,4,3,3,433,Champions
HH-15010,73,2,218.67,3,1,1,311,Recent Customers
HJ-14875,127,5,358.1,2,2,1,221,Lost / Inactive
HK-14890,152,8,4877.8,2,3,4,234,At Risk
HL-15040,44,6,12873.3,3,2,4,324,Loyal Customers
HM-14860,3,10,8236.76,4,4,4,444,Champions
HM-14980,248,4,736.28,1,1,1,111,Lost / Inactive
HP-14815,31,7,1990.31,4,3,2,432,Loyal Customers
HR-14770,14,5,1299.29,4,2,2,422,Loyal Customers
HR-14830,160,7,5248.79,2,3,4,234,At Risk
HW-14935,118,8,9300.25,2,3,4,234,At Risk
HZ-14950,36,5,886.52,3,2,1,321,Loyal Customers
IG-15085,72,4,744.57,3,1,1,311,Recent Customers
IL-15100,143,7,5040.74,2,3,4,234,At Risk
IM-15055,410,3,2872.63,1,1,3,113,Cant Lose Them
IM-15070,391,7,4930.49,1,3,4,134,At Risk
JA-15970,93,8,6491.02,2,3,4,234,At Risk
JB-15400,8,10,1791.62,4,4,2,442,Loyal Customers
JB-15925,738,3,900.55,1,1,1,111,Lost / Inactive
JB-16000,44,7,644.12,3,3,1,331,Loyal Customers
JB-16045,8,5,2518.11,4,2,3,423,Loyal Customers
JC-15340,115,4,71.27,2,1,1,211,Lost / Inactive
JC-15385,176,1,1058.11,2,1,1,211,Lost / Inactive
JC-15775,159,9,2772.06,2,4,3,243,At Risk
JC-16105,58,5,858.57,3,2,1,321,Loyal Customers
JD-15790,118,5,2152.35,2,2,2,222,Lost / Inactive
JD-15895,395,11,7610.87,1,4,4,144,At Risk
JD-16015,113,6,385.43,2,2,1,221,Lost / Inactive
JD-16060,301,3,695.44,1,1,1,111,Lost / Inactive
JD-16150,42,8,8828.04,3,3,4,334,Champions
JE-15475,194,6,1388.69,1,2,2,122,Lost / Inactive
JE-15610,49,7,7754.97,3,3,4,334,Champions
JE-15715,47,10,8697.86,3,4,4,344,Champions
JE-15745,52,13,6760.81,3,4,4,344,Champions
JE-16165,21,3,2697.25,4,1,3,413,Recent Customers
JF-15190,66,7,2279.59,3,3,3,333,Champions
JF-15295,226,5,955.12,1,2,1,121,Lost / Inactive
JF-15355,106,6,1911.84,2,2,2,222,Lost / Inactive
JF-15415,3,6,2371.45,4,2,3,423,Loyal Customers
JF-15490,122,11,1082.92,2,4,1,241,At Risk
JF-15565,55,8,4198.32,3,3,4,334,Champions
JG-15115,759,3,2358.66,1,1,3,113,Cant Lose Them
JG-15160,2,11,6366.4,4,4,4,444,Champions
JG-15310,3,6,2240.58,4,2,2,422,Loyal Customers
JG-15805,224,6,1507.02,1,2,2,122,Lost / Inactive
JH-15430,6,4,309.29,4,1,1,411,Recent Customers
JH-15820,175,6,528.92,2,2,1,221,Lost / Inactive
JH-15910,42,7,959.48,3,3,1,331,Loyal Customers
JH-15985,30,6,7954.99,4,2,4,424,Loyal Customers
JH-16180,405,4,2256.39,1,1,2,112,Lost / Inactive
JJ-15445,484,5,709.17,1,2,1,121,Lost / Inactive
JJ-15760,754,2,195.0,1,1,1,111,Lost / Inactive
JK-15205,62,5,4427.14,3,2,4,324,Loyal Customers
JK-15325,288,3,383.81,1,1,1,111,Lost / Inactive
JK-15370,45,8,2709.62,3,3,3,333,Champions
JK-15625,62,7,3760.03,3,3,3,333,Champions
JK-15640,181,9,4760.44,2,4,4,244,At Risk
JK-15730,85,10,4867.21,2,4,4,244,At Risk
JK-16090,29,3,3747.66,4,1,3,413,Recent Customers
JK-16120,118,10,2932.49,2,4,3,243,At Risk
JL-15130,9,6,1214.95,4,2,2,422,Loyal Customers
JL-15175,7,5,1571.52,4,2,2,422,Loyal Customers
JL-15235,120,5,2203.7,2,2,2,222,Lost / Inactive
JL-15505,50,6,3173.87,3,2,3,323,Loyal Customers
JL-15835,22,11,9799.93,4,4,4,444,Champions
JL-15850,615,6,2725.25,1,2,3,123,Cant Lose Them
JM-15250,38,6,3159.11,3,2,3,323,Loyal Customers
JM-15265,38,5,1804.14,3,2,2,322,Loyal Customers
JM-15535,103,7,1733.45,2,3,2,232,At Risk
JM-15580,1,5,303.94,4,2,1,421,Loyal Customers
JM-15655,9,5,864.95,4,2,1,421,Loyal Customers
JM-15865,110,7,7625.07,2,3,4,234,At Risk
JM-16195,58,10,2833.92,3,4,3,343,Champions
JO-15145,58,9,3254.94,3,4,3,343,Champions
JO-15280,93,6,1934.27,2,2,2,222,Lost / Inactive
JO-15550,216,5,1090.85,1,2,1,121,Lost / Inactive
JP-15460,38,7,1669.12,3,3,2,332,Loyal Customers
JP-15520,9,7,3635.59,4,3,3,433,Champions
JP-16135,103,9,1707.71,2,4,2,242,At Risk
JR-15670,594,2,1156.66,1,1,2,112,Lost / Inactive
JR-15700,69,1,863.88,3,1,1,311,Recent Customers
JR-16210,34,5,2201.69,3,2,2,322,Loyal Customers
JS-15595,120,4,1417.65,2,1,2,212,Lost / Inactive
JS-15685,43,4,1131.07,3,1,1,311,Recent Customers
JS-15880,535,5,3868.01,1,2,4,124,Cant Lose Them
JS-15940,464,5,469.16,1,2,1,121,Lost / Inactive
JS-16030,29,6,2516.49,4,2,3,423,Loyal Customers
JW-15220,43,6,7721.71,3,2,4,324,Loyal Customers
JW-15955,6,7,1244.09,4,3,2,432,Loyal Customers
JW-16075,462,4,1428.73,1,1,2,112,Lost / Inactive
KA-16525,37,7,1519.51,3,3,2,332,Loyal Customers
KB-16240,5,7,3152.61,4,3,3,433,Champions
KB-16315,297,9,1569.45,1,4,2,142,At Risk
KB-16405,118,3,908.82,2,1,1,211,Lost / Inactive
KB-16585,231,12,2744.74,1,4,3,143,At Risk
KB-16600,2,7,983.93,4,3,1,431,Loyal Customers
KC-16255,408,6,2120.95,1,2,2,122,Lost / Inactive
KC-16540,98,4,3908.27,2,1,4,214,Lost / Inactive
KC-16675,58,4,1146.05,3,1,1,311,Recent Customers
KD-16270,485,5,8282.36,1,2,4,124,Cant Lose Them
KD-16345,42,6,1888.96,3,2,2,322,Loyal Customers
KD-16495,113,12,8181.24,2,4,4,244,At Risk
KD-16615,290,5,2243.51,1,2,2,122,Lost / Inactive
KE-16420,27,8,1686.73,4,3,2,432,Loyal Customers
KF-16285,98,7,10604.26,2,3,4,234,At Risk
KH-16330,41,8,3312.87,3,3,3,333,Champions
KH-16360,2,6,3100.6,4,2,3,423,Loyal Customers
KH-16510,23,7,5952.86,4,3,4,434,Champions
KH-16630,59,9,3918.96,3,4,4,344,Champions
KH-16690,3,7,5990.79,4,3,4,434,Champions
KL-16555,17,8,5016.47,4,4,4,444,Champions
KL-16645,48,12,14175.22,3,4,4,344,Champions
KM-16225,15,6,2260.95,4,2,3,423,Loyal Customers
KM-16375,57,8,5620.18,3,4,4,344,Champions
KM-16660,16,5,453.54,4,2,1,421,Loyal Customers
KM-16720,29,8,4909.47,4,4,4,444,Champions
KN-16390,20,9,2617.29,4,4,3,443,Champions
KN-16450,53,5,2171.97,3,2,2,322,Loyal Customers
KN-16705,99,8,2280.58,2,4,3,243,At Risk
KS-16300,296,3,88.47,1,1,1,111,Lost / Inactive
KT-16465,392,7,3057.1,1,3,3,133,At Risk
KT-16480,101,10,4642.1,2,4,4,244,At Risk
KW-16435,97,5,4416.52,2,2,4,224,Lost / Inactive
KW-16570,772,4,449.1,1,1,1,111,Lost / Inactive
LA-16780,155,11,8673.23,2,4,4,244,At Risk
LB-16735,49,3,50.19,3,1,1,311,Recent Customers
LB-16795,153,8,4985.68,2,4,4,244,At Risk
LC-16870,28,8,2580.71,4,4,3,443,Champions
LC-16885,17,12,7663.13,4,4,4,444,Champions
LC-16930,42,8,4492.94,3,4,4,344,Champions
LC-16960,437,4,3246.63,1,1,3,113,Cant Lose Them
LC-17050,55,5,2095.06,3,2,2,322,Loyal Customers
LC-17140,14,9,2633.57,4,4,3,443,Champions
LD-16855,553,1,5.3,1,1,1,111,Lost / Inactive
LD-17005,415,4,1961.93,1,1,2,112,Lost / Inactive
LE-16810,22,6,1469.45,4,2,2,422,Loyal Customers
LF-17185,23,7,3930.52,4,3,4,434,Champions
LH-16750,152,3,287.43,2,1,1,211,Lost / Inactive
LH-16900,22,9,2295.32,4,4,3,443,Champions
LH-17020,240,4,318.23,1,1,1,111,Lost / Inactive
LH-17155,386,9,1739.69,1,4,2,142,At Risk
LL-16840,250,6,2741.2,1,2,3,123,Cant Lose Them
LM-17065,392,5,1346.78,1,2,2,122,Lost / Inactive
LO-17170,3,5,644.35,4,2,1,421,Loyal Customers
LP-17080,41,4,756.6,3,1,1,311,Recent Customers
